Province,Date,Temp_Max,Temp_Min,Precipitation,Windspeed_Max,UV_Index_Max,Sunshine_Hours,Weather_Code
An Giang,2025-05-04,33.0,25.2,0.9,8.3,6.85,10.97,80
Bà Rịa - Vũng Tàu,2025-05-04,30.3,26.5,3.9,13.0,9.25,11.71,80
Bạc Liêu,2025-05-04,31.3,26.2,0.9,12.2,9.05,10.98,80
Bắc Giang,2025-05-04,33.4,26.1,8.5,13.9,8.05,9.63,95
Bắc Kạn,2025-05-04,33.0,25.0,4.8,11.9,7.45,10.89,95
Bắc Ninh,2025-05-04,33.5,25.8,4.4,12.8,8.85,7.93,95
Bến Tre,2025-05-04,33.4,25.7,5.9,11.4,7.3,10.56,96
Bình Dương,2025-05-04,32.5,25.3,1.2,8.4,9.05,10.23,80
Bình Định,2025-05-04,33.9,22.4,1.9,12.1,8.4,11.39,80
Bình Phước,2025-05-04,32.5,25.0,3.6,7.7,8.8,10.85,95
Bình Thuận,2025-05-04,31.7,24.5,0.0,17.4,9.05,11.0,45
Cà Mau,2025-05-04,32.2,25.5,2.6,7.4,8.25,7.92,95
Cao Bằng,2025-05-04,34.9,25.3,0.5,16.1,7.55,12.0,3
Cần Thơ,2025-05-04,32.8,25.3,7.8,8.9,6.2,9.36,96
Đà Nẵng,2025-05-04,31.5,26.6,0.0,18.0,9.1,11.0,3
Đắk Lắk,2025-05-04,30.3,22.6,15.6,10.6,9.2,9.03,96
Đắk Nông,2025-05-04,28.4,20.6,12.8,11.2,8.65,9.41,96
Điện Biên,2025-05-04,30.5,22.7,6.4,15.3,8.85,11.05,95
Đồng Nai,2025-05-04,32.2,25.8,3.8,7.9,7.35,7.55,95
Đồng Tháp,2025-05-04,33.2,25.8,3.3,9.2,6.2,10.0,95
Gia Lai,2025-05-04,30.1,22.3,1.5,13.6,9.35,10.73,80
Hà Giang,2025-05-04,33.0,23.2,4.6,12.3,7.85,11.36,80
Hà Nam,2025-05-04,33.6,25.5,1.0,13.2,8.9,9.78,80
Hà Nội,2025-05-04,34.0,25.9,1.1,14.1,8.85,10.4,80
Hà Tĩnh,2025-05-04,35.9,26.0,1.7,13.7,9.0,11.95,95
Hải Dương,2025-05-04,32.3,25.9,6.3,15.7,8.75,9.48,95
Hải Phòng,2025-05-04,30.2,26.4,12.0,14.3,7.9,7.65,96
Hậu Giang,2025-05-04,32.5,24.9,1.5,8.6,7.85,9.61,80
Hòa Bình,2025-05-04,34.0,25.8,4.1,9.0,8.9,11.05,95
Hưng Yên,2025-05-04,33.2,25.8,2.2,11.3,8.95,9.17,80
Khánh Hòa,2025-05-04,31.9,25.8,0.0,16.3,9.25,11.37,3
Kiên Giang,2025-05-04,32.4,25.4,3.3,8.0,7.2,10.01,95
Kon Tum,2025-05-04,32.1,23.7,4.4,13.0,8.8,9.6,95
Lai Châu,2025-05-04,27.2,20.2,9.6,8.2,8.9,11.5,80
Lâm Đồng,2025-05-04,26.2,18.9,3.5,11.2,8.05,10.66,96
Lạng Sơn,2025-05-04,31.9,24.0,0.0,18.1,6.05,11.66,3
Lào Cai,2025-05-04,35.4,25.1,0.0,8.1,8.65,11.98,3
Long An,2025-05-04,33.0,25.2,2.9,12.5,8.6,10.4,95
Nam Định,2025-05-04,32.8,25.7,2.6,12.5,8.9,8.71,80
Nghệ An,2025-05-04,35.2,23.9,0.0,10.9,8.8,12.0,45
Ninh Bình,2025-05-04,33.1,26.1,1.3,12.2,8.9,7.15,80
Ninh Thuận,2025-05-04,33.9,24.8,0.0,18.9,9.3,11.47,3
Phú Thọ,2025-05-04,33.9,25.9,1.2,18.7,8.85,10.23,80
Phú Yên,2025-05-04,34.6,24.3,0.3,12.8,9.25,11.63,45
Quảng Bình,2025-05-04,36.2,24.6,5.8,11.2,9.0,11.29,96
Quảng Nam,2025-05-04,38.2,25.4,21.2,14.7,9.1,9.0,95
Quảng Ngãi,2025-05-04,35.3,24.3,0.3,17.9,8.85,11.1,45
Quảng Ninh,2025-05-04,29.4,26.3,5.5,13.4,8.7,9.13,95
Quảng Trị,2025-05-04,35.5,25.8,6.7,10.3,9.05,7.0,96
Sóc Trăng,2025-05-04,32.1,25.5,0.2,11.6,7.75,11.77,3
Sơn La,2025-05-04,29.9,23.0,5.8,12.5,8.2,11.88,80
Tây Ninh,2025-05-04,32.9,26.0,3.3,7.4,8.55,10.41,95
Thái Bình,2025-05-04,32.0,25.7,8.4,15.5,8.85,7.35,95
Thái Nguyên,2025-05-04,33.8,25.8,6.7,12.1,8.2,10.43,95
Thanh Hóa,2025-05-04,33.3,26.0,0.8,11.5,8.95,9.46,80
Thừa Thiên Huế,2025-05-04,32.6,25.2,0.0,13.3,9.05,8.0,3
Tiền Giang,2025-05-04,33.0,25.2,2.9,12.5,8.4,10.4,95
TP Hồ Chí Minh,2025-05-04,32.8,26.2,0.9,9.2,6.6,9.44,80
Trà Vinh,2025-05-04,32.4,25.3,0.4,11.4,6.4,11.76,45
Tuyên Quang,2025-05-04,34.4,26.2,0.1,14.7,8.35,11.3,3
Vĩnh Long,2025-05-04,32.8,24.7,7.7,7.6,6.3,8.11,96
Vĩnh Phúc,2025-05-04,33.9,25.8,3.4,13.4,8.75,10.87,80
Yên Bái,2025-05-04,33.9,25.7,2.3,9.9,7.9,8.92,80
